	{斜玉}
󰭔	{𢞪字头之一}
󰭕	{𢞪字头之二}
󰭖	{𢞮字边}
󰭗	{𢞯字头}
󰭘	{𢞳字边}
󰭙	{𢞹字边}
󰭚	{𢞾字头}
󰭛	{𢟃字边字心}
󰭜	{𢟃字边}
󰭝	{𢟇字头}
󰭞	{𢟚字边}
󰭟	{𢟟字边}
󰭠	{𢟡字边字底}
󰭡	{𢟡字边}
󰭢	{𢟤字底}
󰭣	{𢟥字头}
󰭤	{𢟾字边}
󰭥	{𢟿字边}
󰭦	{𢠀字头}
󰭧	{𢠍字边}
󰭨	{𢠕字头字边}
󰭩	{𢠕字头}
󰭪	{𢠖字头}
󰭫	{𢠘字头}
󰭬	{𢠚字头}
󰭭	{𢠚字头之一}
󰭮	{𢠟字边}
󰭯	{𢠬字头字旁}
󰭰	{𢠬字头}
󰭱	{𢠮字边}
󰭲	{𢡄字边字头}
󰭳	{𢡄字边}
󰭴	{𢡄字边之一}
󰭵	{𢡌字边}
󰭶	{𢡍字边字头}
󰭸	{𢡍字边字底}
󰭹	{𢡍字边}
󰭺	{𢡍字边之一}
󰭻	{𢡐字边}
󰭼	{𢡒字边}
󰭽	{𢡓字边}
󰭾	{𢡔字头}
󰭿	{𢡕字头}
󰮀	{𢡘字头}
󰮁	{𢡝字边}
󰮂	{𢡤字边字底字心}
󰮃	{𢡤字边字底}
󰮄	{𢡤字边}
󰮆	{𢡤字边之一}
󰮈	{𢡤字边之二}
󰮉	{𢡪字头}
󰮊	{𢡴字头}
󰮋	{𢡶字头}
󰮌	{𢡷字头字旁}
󰮍	{𢡷字头}
󰮎	{𢢋字边}
󰮏	{𢢍字头字旁}
󰮐	{𢢍字头}
󰮑	{𢢍字头字旁之一}
󰮒	{𢢍字头之一}
󰮓	{𢢍字头之二}
󰮔	{𢢎字头}
󰮕	{𢢐字头}
󰮖	{𢢑字边}
󰮘	{𢢟字边字底}
󰮙	{𢢟字边}
󰮛	{𢢟字边字底之一}
󰮜	{𢢟字边之一}
󰮝	{𢢢字旁}
󰮞	{𢢦字腰}
󰮟	{𢢨字头}
󰮠	{𢢳字边}
󰮡	{𢢹字头}
󰮢	{𢣉字头}
󰮣	{𢣊字边字头}
󰮤	{𢣊字边}
󰮥	{𢣍字头字边字底}
󰮦	{𢣍字头字边}
󰮧	{𢣍字头}
󰮨	{𢣍字头字边字底之一}
󰮩	{𢣍字头字边之一}
󰮪	{𢣍字头之一}
󰮫	{𢣖字边}
󰮬	{𢣙字边}
󰮭	{𢣜字边}
󰮮	{𢣝字边}
󰮯	{𢣞字旁}
󰮰	{𢣠字头}
󰮱	{𢣨字边}
󰮲	{𢣬字头}
󰮳	{𢣮字头}
󰮴	{𢤅字头}
󰮵	{𢤉字底}
󰮶	{𢤉字底之一}
󰮷	{𢤋字边字头}
󰮸	{𢤋字边}
󰮹	{𢤏字腰}
󰮺	{𢤏字腰之一}
󰮻	{𢤓字边}
󰮼	{𢤙字头字旁}
󰮽	{𢤙字头}
󰮿	{𢤚字中}
󰯀	{𢤪字边}
󰯁	{𢤴字旁}
󰯂	{𢤵字头}
󰯃	{𢤻字边字底}
󰯄	{𢤻字边}
󰯅	{𢥁字头}
󰯇	{𢥓字中}
󰯈	{𢥤字头}
󰯉	{𢥦字边}
󰯊	{𢥨字头字旁}
󰯋	{𢥨字头}
󰯌	{𢥩字头}
󰯍	{𢥮字头}
󰯎	{𢥲字头}
󰯏	{𢥺字头}
󰯐	{𢥿字头}
󰯑	{𢦀字头字边}
󰯒	{𢦀字头}
󰯓	{𢦀字头之一}
󰯔	{𢦁字头}
󰯕	{𢦆字头}
󰯖	{𢦇字头}
󰯗	{𢦊字腰}
󰯘	{𢦘字心}
󰯚	{𢦬字心}
󰯛	{𢦰字心}
󰯝	{𢦳字旁}
󰯞	{𢦶字心}
󰯟	{𢦹字心}
󰯠	{𢦺字旁}
󰯡	{𢦾字心}
󰯣	{𢧌字心}
󰯤	{𢧌字心之一}
󰯥	{𢧍字旁}
󰯦	{𢧛字旁}
󰯧	{𢧝字旁}
󰯨	{𢧞字心}
󰯩	{𢧟字心字框}
󰯪	{𢧟字心}
󰯫	{𢧠字框}
󰯬	{𢧠字心}
󰯭	{𢧠字旁}
󰯮	{𢧢字边}
󰯯	{𢧣字旁}
󰯰	{𢧣字旁之一}
󰯱	{𢧤字心}
󰯲	{𢧯字心}
󰯳	{𢧰字旁}
󰯴	{𢧹字框}
󰯵	{𢧹字心字心}
󰯶	{𢧹字心}
󰯷	{𢧻字边字头}
󰯸	{𢧻字边}
󰯹	{𢧼字心}
󰯺	{𢧾字旁}
󰯻	{𢧿字心}
󰯼	{𢧿字心之一}
󰯽	{𢨀字心}
󰯾	{𢨁字心}
󰯿	{𢨂字心}
󰰁	{𢨅字心字心}
󰰂	{𢨅字心之一}
󰰃	{𢨆字心}
󰰄	{𢨍字旁}
󰰅	{𢨎字心}
󰰆	{𢨎字心之一}
󰰇	{𢨏字旁}
󰰈	{𢨐字旁}
󰰉	{𢨖字旁字头}
󰰊	{𢨖字旁}
󰰋	{𢨙字旁}
󰰌	{𢨚字心}
󰰍	{𢨛字旁}
󰰎	{𢨜字心}
󰰏	{𢨞字心}
󰰐	{𢨟字旁}
󰰑	{𢨡字旁}
󰰒	{𢨢字心}
󰰓	{𢨣字心}
󰰔	{𢨾字心}
󰰖	{𢩀字心字心}
󰰗	{𢩀字心}
󰰘	{𢩂字心}
󰰙	{𢩍字旁}
󰰚	{𢩍字旁之一}
󰰛	{𢩐字心}
󰰜	{𢩕字框}
󰰞	{𢩞字头}
󰰟	{𢩡字旁}
󰰠	{𢩡字边}
󰰡	{𢩲字边}
󰰢	{𢩺字边}
󰰣	{𢪀字边}
󰰤	{𢪁字边}
󰰥	{𢪅字边}
󰰦	{𢪐字框}
󰰩	{𢪜字边}
󰰪	{𢪞字边}
󰰫	{𢪡字边}
󰰬	{𢪢字边}
󰰭	{𢪴字边}
󰰮	{𢪹字边}
󰰰	{𢫂字边字框}
󰰱	{𢫂字边字心}
󰰲	{𢫂字边}
󰰴	{𢫂字边之一}
󰰵	{𢫅字边}
󰰶	{𢫇字边}
󰰷	{𢫏字边}
󰰸	{𢫜字边}
󰰹	{𢫢字边}
󰰺	{𢫹字边}
󰰻	{𢫺字边}
󰰼	{𢫽字边}
󰰽	{𢬆字边}
󰰾	{𢬋字边}
󰰿	{𢬌字边}
󰱀	{𢬝字边}
󰱂	{𢬟字边}
󰱃	{𢬠字边}
󰱄	{𢬰字边}
󰱆	{𢭈字边}
󰱇	{𢭊字边}
󰱈	{𢭌字边}
󰱉	{𢭒字边}
󰱊	{𢭓字边}
󰱋	{𢭓字边之一}
󰱌	{𢭔字边}
󰱍	{𢭔字边之一}
󰱎	{𢭖字边}
󰱏	{𢭖字边之一}
󰱐	{𢭛字边}
󰱒	{𢭡字边}
󰱓	{𢭥字边}
󰱖	{𢮆字边}
󰱗	{𢮇字边}
󰱘	{𢮇字边之一}
󰱙	{𢮗字头}
󰱚	{𢮗字头之一}
󰱛	{𢮞字边}
󰱜	{𢮞字边之一}
󰱝	{𢮟字头}
󰱞	{𢮠字头}
󰱟	{𢮪字边}
󰱠	{𢮭字边}
󰱡	{𢮯字边}
󰱢	{𢮲字边}
󰱣	{𢮴字边}
󰱤	{𢮺字边}
󰱥	{𢮾字边字底}
󰱦	{𢮾字边}
󰱧	{𢯀字边}
󰱨	{𢯈字边}
󰱩	{𢯈字边之一}
󰱫	{𢰂字边}
󰱬	{𢰈字边}
󰱭	{𢰈字边之一}
󰱮	{𢰊字边}
󰱯	{𢰋字边}
󰱰	{𢰌字边}
󰱱	{𢰍字边}
󰱳	{𢰎字边}
󰱴	{𢰎字边之一}
󰱵	{𢰐字边字头}
󰱶	{𢰐字边}
󰱷	{𢰑字边}
󰱺	{𢰕字边}
󰱻	{𢰖字边}
󰱼	{𢰘字边}
󰱽	{𢰚字边}
󰱾	{𢰛字边}
󰱿	{𢰜字边}
󰲀	{𢰪字边}
󰲁	{𢰪字边之一}
󰲂	{𢰫字边}
󰲃	{𢰰字边}
󰲄	{𢰱字边}
󰲆	{𢰺字边}
󰲇	{𢰼字边}
󰲉	{𢱂字边}
󰲋	{𢱂字边之一}
󰲌	{𢱄字边}
󰲍	{𢱅字边}
󰲎	{𢱠字边}
󰲏	{𢱰字边字头}
󰲐	{𢱰字边}
󰲑	{𢱲字边}
󰲒	{𢱲字边之一}
󰲓	{𢱴字边}
󰲔	{𢱵字头字中}
󰲕	{𢱵字头}
󰲖	{𢱺字边}
󰲗	{𢱻字边}
󰲘	{𢱼字边}
󰲙	{𢱿字边}
󰲚	{𢲇字边}
󰲛	{𢲍字边}
󰲜	{𢲍字边之一}
󰲝	{𢳌字边字底字底字心}
󰲞	{𢳌字边字底字底}
󰲟	{𢳌字边字底}
󰲠	{𢳌字边}
󰲡	{𢳒字边字心}
󰲢	{𢳒字边}
󰲣	{𢳓字边字底}
󰲤	{𢳓字边}
󰲥	{𢳕字边}
󰲦	{𢳕字边之一}
󰲧	{𢳗字边字头}
󰲨	{𢳗字边}
󰲩	{𢳛字边}
󰲪	{𢳢字边字头}
󰲫	{𢳢字边}
󰲬	{𢳦字边}
󰲭	{𢳦字边之一}
󰲮	{𢳩字边}
󰲯	{𢳭字边}
󰲰	{𢳭字边之一}
󰲱	{𢳲字边}
󰲲	{𢳵字边}
󰲳	{𢳷字边}
󰲴	{𢳸字边}
󰲵	{𢳸字边字底字底}
󰲶	{𢳸字边字底}
󰲷	{𢳸字边之一}
󰲸	{𢳹字边}
󰲹	{𢳹字边之一}
󰲺	{𢳻字边字底}
󰲻	{𢳻字边}
󰲼	{𢳼字边}
󰲽	{𢳽字边}
󰲾	{𢴄字边}
󰲿	{𢴕字边}
󰳀	{𢴕字边之一}
󰳁	{𢴜字边字头}
󰳂	{𢴜字边}
󰳃	{𢴜字边之一}
󰳄	{𢴞字边字底字心}
󰳅	{𢴞字边字底}
󰳆	{𢴞字边}
󰳇	{𢴫字边}
󰳈	{𢴯字边字底}
󰳉	{𢴯字边}
󰳊	{𢴴字边字头}
󰳋	{𢴴字边}
󰳌	{𢴶字边}
󰳍	{𢴼字边}
󰳎	{𢴼字边之一}
󰳏	{𢴼字边之二}
󰳐	{𢵂字边字底字框}
󰳑	{𢵂字边字底}
󰳒	{𢵂字边}
󰳓	{𢵃字边}
󰳔	{𢵎字边}
󰳕	{𢵖字边}
󰳖	{𢵟字边}
󰳗	{𢵠字头字边}
󰳘	{𢵠字头}
󰳙	{𢵤字头}
󰳚	{𢵾字边}
󰳜	{𢶁字边}
󰳞	{𢶁字边之一}
󰳟	{𢶘字边}
󰳠	{𢶛字边}
󰳡	{𢶝字边}
󰳢	{𢶢字边字底}
󰳣	{𢶢字边}
󰳤	{𢶪字中}
󰳥	{𢶬字边}
󰳦	{𢶭字边}
󰳧	{𢶮字边}
󰳨	{𢶱字边}
󰳩	{𢶳字边}
󰳪	{𢶽字边}
󰳫	{𢷇字边}
󰳬	{𢷉字边}
󰳭	{𢷎字边}
󰳮	{𢷛字边字底}
󰳯	{𢷛字边}
󰳰	{𢷝字边字头}
󰳱	{𢷝字边}
󰳲	{𢷥字边字底}
󰳳	{𢷥字边}
󰳴	{𢷭字边}
󰳵	{𢷯字边}
󰳶	{𢸉字边字心}
󰳷	{𢸉字边}
󰳸	{𢸊字边}
󰳹	{𢸌字边字头}
󰳺	{𢸌字边}
󰳻	{𢸏字边}
󰳼	{𢸏字边之一}
󰳽	{𢸕字边}
󰳾	{𢸖字边}
󰳿	{𢸯字边字头}
󰴀	{𢸯字边}
󰴁	{𢸲字边}
󰴂	{𢸶字边字底}
󰴃	{𢸶字边}
󰴅	{𢸶字边之一}
󰴆	{𢸶字边字底之二}
󰴇	{𢸶字边之二}
󰴈	{𢸹字边字头}
󰴉	{𢸹字边}
󰴊	{𢸻字边字底}
󰴋	{𢸻字边}
󰴌	{𢹀字边}
󰴍	{𢹄字边字头}
󰴎	{𢹄字边字底}
󰴏	{𢹄字边}
󰴐	{𢹄字边字头之一}
󰴒	{𢹄字边之一}
󰴓	{𢹇字边字头}
󰴔	{𢹇字边}
󰴕	{𢹋字边}
󰴖	{𢹎字边}
󰴗	{𢹕字边}
󰴘	{𢹗字边字框}
󰴙	{𢹗字边}
󰴚	{𢹙字边}
󰴜	{𢹜字边字底}
󰴝	{𢹜字边}
󰴞	{𢹟字中}
󰴟	{𢹠字边}
󰴠	{𢹢字边}
󰴡	{𢹳字边}
󰴢	{𢺂字边}
󰴣	{𢺃字边字底字心}
󰴤	{𢺃字边字底}
󰴥	{𢺃字边}
󰴦	{𢺄字边字心}
󰴧	{𢺄字边}
󰴨	{𢺊字边}
󰴩	{𢺖字边}
󰴪	{𢺣字边}
󰴬	{𢺦字边字底}
󰴭	{𢺦字边}
󰴮	{𢺧字边字底}
󰴯	{𢺧字边}
󰴰	{𢺧字边字底之一}
󰴱	{𢺧字边之一}
󰴲	{𢺪字边字底}
󰴳	{𢺪字边}
󰴵	{𢺫字边字头}
󰴶	{𢺫字边}
󰴷	{𢺬字边字腰字框}
󰴸	{𢺬字边字腰}
󰴹	{𢺬字边}
󰴺	{𢺮字边}
󰴻	{𢺱字边}
󰴼	{𢺲字边}
󰴽	{𢻄字旁}
󰴾	{𢻄字旁之一}
󰴿	{𢻍字旁}
󰵁	{𢻎字旁之一}
󰵂	{𢻘字旁}
󰵃	{𢻞字旁}
󰵄	{𢻞字旁之一}
󰵅	{𢻡字旁}
󰵇	{𢻡字旁之一}
󰵈	{𢻣字旁}
󰵉	{𢻦字旁字底}
󰵊	{𢻦字旁}
󰵋	{𢻦字旁之一}
󰵍	{𢻩字旁}
󰵎	{𢼊字旁}
󰵏	{𢼋字旁字框}
󰵐	{𢼋字旁}
󰵑	{𢼘字旁}
󰵒	{𢼘字旁之一}
󰵓	{𢼠字框}
󰵔	{𢼪字旁}
󰵕	{𢼫字旁}
󰵖	{𢼷字旁}
󰵗	{𢼿字旁}
󰵘	{𢼿字旁之一}
󰵙	{𢽅字旁}
󰵚	{𢽇字旁}
󰵛	{𢽌字旁}
󰵜	{𢽑字旁}
󰵝	{𢽒字旁}
󰵞	{𢽓字旁}
󰵟	{𢽗字旁}
󰵡	{𢽠字旁}
󰵢	{𢽤字旁}
󰵥	{𢽮字旁}
󰵦	{𢽯字旁}
󰵧	{𢽵字旁}
󰵨	{𢽵字旁之一}
󰵩	{𢽺字旁}
󰵪	{𢾈字旁}
󰵫	{𢾍字旁}
󰵬	{𢾓字旁}
󰵭	{𢾠字旁}
󰵮	{𢾠字旁之一}
󰵯	{𢾥字旁}
󰵰	{𢾥字旁之一}
󰵱	{𢾨字底}
󰵲	{𢾬字旁}
󰵳	{𢾰字旁}
󰵴	{𢾰字旁之一}
󰵵	{𢾴字旁}
󰵶	{𢾵字旁字头字底}
󰵷	{𢾵字旁字头}
󰵸	{𢾵字旁}
󰵹	{𢾶字头}
󰵺	{𢾷字旁}
󰵻	{𢾸字旁}
󰵼	{𢾾字旁}
󰵽	{𢿀字旁}
󰵾	{𢿅字边}
󰵿	{𢿎字旁字底}
󰶀	{𢿎字旁}
󰶁	{𢿐字旁}
󰶂	{𢿔字旁字腰}
󰶃	{𢿔字旁}
󰶄	{𢿚字旁字头}
󰶅	{𢿚字旁}
󰶆	{𢿝字旁字底}
󰶇	{𢿝字旁}
󰶈	{𢿡字旁字头}
󰶉	{𢿡字旁}
󰶊	{𢿨字旁}
󰶋	{𢿨字旁之一}
󰶌	{𢿩字旁}
󰶍	{𢿬字旁}
󰶎	{𢿮字旁字底}
󰶏	{𢿮字旁}
󰶐	{𢿮字旁字底之一}
󰶑	{𢿮字旁之一}
󰶒	{𢿯字旁}
󰶓	{𢿰字旁}
󰶔	{𢿷字旁}
󰶕	{𢿹字旁}
󰶖	{𢿹字中}
󰶗	{𢿹字旁之一}
󰶘	{𢿹字旁之二}
󰶙	{𢿺字旁}
󰶚	{𣀄字旁}
󰶛	{𣀋字中}
󰶜	{𣀋字中之一}
󰶝	{𣀌字旁}
󰶟	{𣀍字旁}
󰶠	{𣀎字旁字底}
󰶡	{𣀎字旁}
󰶢	{𣀐字旁}
󰶣	{𣀖字旁}
󰶤	{𣀙字旁}
󰶥	{𣀧字旁}
󰶦	{𣀪字旁字底}
󰶧	{𣀪字旁}
󰶨	{𣀭字旁}
󰶩	{𣀭字旁之一}
󰶪	{𣀰字旁字腰字心}
󰶫	{𣀰字旁字腰}
󰶬	{𣀰字旁}
󰶭	{𣀱字旁字底}
󰶮	{𣀱字旁}
󰶯	{𣀱字旁字底字框}
󰶰	{𣀱字旁字底之一}
󰶱	{𣀱字旁之一}
󰶲	{𣀴字底字框}
󰶳	{𣀴字底}
󰶴	{𣀽字底}
󰶵	{𣀾字旁}
󰶶	{𣀿字旁字头字旁}
󰶷	{𣀿字旁字头}
󰶸	{𣀿字旁}
󰶹	{𣁀字旁}
󰶺	{𣁋字旁}
󰶻	{𣁒字旁}
󰶼	{𣁛字底}
󰶽	{𣁩字头}
󰶾	{𣁩字底字底}
󰶿	{𣁩字底}
󰷁	{𣁾字底}
󰷂	{𣂍字旁}
󰷃	{𣂐字旁}
󰷄	{𣂟字旁}
󰷅	{𣂥字旁}
󰷆	{𣂫字旁}
󰷇	{𣂬字头}
󰷈	{𣂭字旁}
󰷉	{𣂭字旁之一}
󰷊	{𣂯字旁}
󰷋	{𣂱字旁字底字框}
󰷌	{𣂱字旁字底}
󰷍	{𣂱字旁}
󰷎	{𣂲字旁}
󰷏	{𣂶字旁}
󰷐	{𣂸字旁}
󰷑	{𣂹字旁}
󰷒	{𣂹字旁之一}
󰷓	{𣂼字旁}
󰷔	{𣂼字旁之一}
󰷕	{𣂼字旁之二}
󰷖	{𣂼字旁之三}
󰷗	{𣂼字旁之四}
󰷘	{𣂼字旁之五}
󰷙	{𣂾字旁}
󰷚	{𣃃字旁}
󰷛	{𣃊字旁}
󰷜	{𣃋字旁字头}
󰷝	{𣃋字旁}
󰷞	{𣃋字旁之一}
󰷟	{𣃎字旁}
󰷠	{𣃐字边}
󰷡	{𣃓字旁}
󰷢	{𣃞字心}
󰷣	{𣃟字头}
󰷤	{𣃥字边}
󰷥	{𣃦字边}
󰷦	{𣃧字边}
󰷧	{𣃨字边}
󰷨	{𣃩字边}
󰷩	{𣃪字框}
󰷪	{𣃬字边}
󰷫	{𣃭字边}
󰷬	{𣃮字边}
󰷭	{𣃯字边字底}
󰷮	{𣃯字边}
󰷯	{𣃰字边}
󰷰	{𣃲字边}
󰷱	{𣃲字边之一}
󰷲	{𣃳字边}
󰷳	{𣃴字边}
󰷴	{𣃵字边}
󰷵	{𣃹字边}
󰷷	{𣃺字边}
󰷸	{𣃻字边}
󰷹	{𣃼字边}
󰷺	{𣃽字边}
󰷻	{𣃿字边字底字框}
󰷼	{𣃿字边字底}
󰷽	{𣃿字边}
󰷾	{𣄀字边}
󰷿	{𣄅字边}
󰸀	{𣄆字边}
󰸁	{𣄉字边}
󰸂	{𣄊字边}
󰸃	{𣄌字边}
󰸄	{𣄐字边}
󰸅	{𣄑字边}
󰸆	{𣄕字边}
󰸇	{𣄖字边}
󰸈	{𣄘字边}
󰸉	{𣄙字边}
󰸊	{𣄞字边}
󰸋	{𣄞字边之一}
󰸌	{𣄟字边}
󰸍	{𣄠字边}
󰸎	{𣄡字边}
󰸏	{𣄢字边}
󰸐	{𣄦字边}
󰸑	{𣄧字边}
󰸒	{𣄨字边字底}
󰸓	{𣄨字边}
󰸔	{𣄪字边}
󰸕	{𣄫字中}
󰸖	{𣅞字框字框}
󰸗	{𣅞字框}
󰸘	{𣅞字框字框之一}
󰸙	{𣅞字框之一}
󰸚	{𣅬字底字旁}
󰸛	{𣅬字底}
󰸜	{𣅲字框字底}
󰸝	{𣅲字框}
󰸞	{𣅲字框之一}
󰸟	{𣅲字框之二}
󰸠	{𣅳字心}
󰸡	{𣆍字底}
󰸢	{𣆜字边字头字边}
󰸣	{𣆜字边字头}
󰸤	{𣆜字边}
󰸥	{𣆜字边字框}
󰸦	{𣆜字边之一}
󰸧	{𣆠字底字框}
󰸨	{𣆠字底}
󰸩	{𣆠字底之一}
󰸪	{𣆸字旁}
󰸫	{𣆼字头}
󰸬	{𣆾字头}
󰸭	{𣇈字边}
󰸮	{𣇎字底字旁}
󰸯	{𣇎字底}
󰸰	{𣇑字底}
󰸱	{𣇗字底}
󰸲	{𣇚字边}
󰸴	{𣇸字头}
󰸵	{𣇻字头}
󰸶	{𣈌字头字旁}
󰸷	{𣈌字头}
󰸸	{𣈎字底}
󰸹	{𣈝字边}
󰸼	{𣈺字边}
󰸽	{𣉀字边字底}
󰸾	{𣉀字边}
󰸿	{𣉀字边字底之一}
󰹀	{𣉀字边之一}
󰹁	{𣉊字边}
󰹂	{𣉛字底}
󰹃	{𣉣字旁}
󰹄	{𣉻字头}
󰹅	{𣊀字边}
󰹆	{𣊅字头}
󰹇	{𣊆字头}
󰹈	{𣊏字边}
󰹉	{𣊚字底}
󰹊	{𣊜字腰}
󰹋	{𣊝字边}
󰹌	{𣊠字边}
󰹍	{𣊥字边字心}
󰹎	{𣊥字边}
󰹏	{𣊳字边字头}
󰹐	{𣊳字边}
󰹑	{𣊳字边字头之一}
󰹒	{𣊳字边之一}
󰹓	{𣊴字底}
󰹔	{𣊽字边}
󰹕	{𣋅字腰}
󰹖	{𣋤字头字旁字心}
󰹗	{𣋤字头字旁}
󰹘	{𣋤字头}
󰹙	{𣋤字头字旁之一}
󰹚	{𣋤字头之一}
󰹛	{𣋥字底}
󰹜	{𣋧字头}
󰹝	{𣋭字边}
󰹞	{𣋭字边之一}
󰹟	{𣋮字边}
󰹠	{𣋯字边}
󰹡	{𣋴字心}
󰹢	{𣋿字腰}
󰹣	{𣌃字旁}
󰹤	{𣌄字边}
󰹥	{𣌇字头字旁}
󰹦	{𣌇字头}
󰹧	{𣌐字边字底字心}
󰹨	{𣌐字边字底}
󰹩	{𣌐字边}
󰹪	{𣌚字底}
󰹫	{𣌠字头}
󰹬	{𣌲字腰}
󰹭	{𣌲字底}
󰹮	{𣌷字底}
󰹯	{𣍄字头}
󰹰	{𣍄字底}
󰹱	{𣍄字底之一}
󰹲	{𣍑字底}
󰹳	{𣍫字边字底字框}
󰹴	{𣍫字边字底}
󰹵	{𣍫字边}
󰹶	{𣍮字边}
󰹷	{𣍲字边}
󰹸	{𣍴字边}
󰹹	{𣍶字边}
󰹺	{𣍸字头}
󰹻	{𣍺字边}
󰹼	{𣎁字旁}
󰹽	{𣎆字底}
󰹾	{𣎇字边}
󰹿	{𣎈字边}
󰺀	{𣎎字边}
󰺁	{𣎐字边}
󰺂	{𣎕字旁}
󰺃	{𣎕字边}
󰺄	{𣎘字旁}
󰺅	{𣎘字旁之一}
󰺆	{𣎙字边}
󰺇	{𣎝字边}
󰺈	{𣎤字边}
󰺉	{𣎧字边}
󰺊	{𣎧字边之一}
󰺋	{𣎭字头}
󰺌	{𣎱字边字底字框}
󰺍	{𣎱字边字底}
󰺎	{𣎱字边}
󰺏	{𣏒字边}
󰺑	{𣏻字头}
󰺒	{𣐗字头}
󰺓	{𣐢字边}
󰺔	{𣐣字边}
󰺕	{𣐧字边字心}
󰺖	{𣐧字边}
󰺗	{𣐰字边}
󰺘	{𣐱字头}
󰺙	{𣑂字边}
󰺛	{𣑈字边}
󰺜	{𣑌字边}
󰺝	{𣑙字边}
󰺞	{𣑞字头}
󰺟	{𣑟字边}
󰺠	{𣑧字头}
󰺢	{𣑪字边字底}
󰺣	{𣑪字边}
󰺤	{𣑱字头}
󰺥	{𣑿字边}
󰺦	{𣒉字边}
󰺧	{𣒊字头}
󰺨	{𣒎字边}
󰺪	{𣒏字边}
󰺬	{𣒓字头}
󰺭	{𣒕字头}
󰺮	{𣒘字边字框}
󰺯	{𣒘字边字心}
󰺰	{𣒘字边}
󰺱	{𣒝字边字头字心}
󰺲	{𣒝字边字头}
󰺳	{𣒝字边}
󰺴	{𣒧字底}
󰺵	{𣒬字边}
󰺶	{𣒰字边}
󰺷	{𣒻字边}
󰺸	{𣓓字边}
󰺹	{𣓘字边}
󰺺	{𣓙字边字心}
󰺻	{𣓙字边}
󰺼	{𣓛字边}
󰺽	{𣓡字边}
󰺾	{𣓢字头}
󰺿	{𣓥字头}
󰻀	{𣓨字腰}
󰻁	{𣓲字边}
󰻂	{𣓿字边}
󰻃	{𣔃字边}
󰻄	{𣔈字边}
󰻅	{𣔊字边}
󰻆	{𣔌字边}
󰻇	{𣔎字边}
󰻈	{𣔑字边}
󰻉	{𣔔字边}
󰻊	{𣔘字头}
󰻋	{𣔛字边}
󰻌	{𣔛字边之一}
󰻍	{𣔫字边}
󰻎	{𣔬字边}
󰻏	{𣔮字边}
󰻐	{𣔸字边}
󰻑	{𣔿字头字边}
󰻒	{𣔿字头}
󰻓	{𣔿字头之一}
󰻔	{𣕀字边}
󰻕	{𣕅字边}
󰻖	{𣕅字边之一}
󰻗	{𣕊字边}
󰻘	{𣕊字边之一}
󰻙	{𣕍字边}
󰻚	{𣕑字中}
󰻛	{𣕓字头字旁}
󰻜	{𣕓字头}
󰻝	{𣕓字头之一}
󰻞	{𣕗字边}
󰻟	{𣕛字边}
󰻠	{𣕛字边之一}
󰻡	{𣕝字边}
󰻢	{𣕢字边}
󰻣	{𣕤字头}
󰻤	{𣕩字边字头}
󰻥	{𣕩字边}
󰻦	{𣕩字边之一}
󰻧	{𣕶字边}
󰻨	{𣕺字边字底}
󰻩	{𣕺字边}
󰻪	{𣕼字头}
󰻫	{𣖅字边}
󰻬	{𣖈字腰字框}
󰻭	{𣖈字腰}
󰻮	{𣖌字边}
󰻯	{𣖏字边}
󰻰	{𣖑字边}
󰻱	{𣖒字边}
󰻲	{𣖓字边}
󰻳	{𣖓字边之一}
󰻴	{𣖣字边字心}
󰻵	{𣖣字边}
󰻶	{𣖣字边字心字框}
󰻷	{𣖣字边字心之一}
󰻸	{𣖣字边之一}
󰻹	{𣖩字边}
󰻺	{𣖪字边}
󰻻	{𣖯字边}
󰻼	{𣖸字边}
󰻽	{𣗀字边字底}
󰻾	{𣗀字边}
󰻿	{𣗂字中}
󰼀	{𣗄字边}
󰼁	{𣗇字边}
󰼂	{𣗍字边}
󰼃	{𣗕字边}
󰼄	{𣗗字底}
󰼅	{𣗠字边}
󰼆	{𣗢字中}
󰼇	{𣗦字边}
󰼈	{𣗨字边}
󰼉	{𣗫字边字腰}
󰼊	{𣗫字边}
󰼋	{𣗮字边}
󰼌	{𣗰字头}
󰼍	{𣗲字头}
󰼏	{𣘅字边字头}
󰼐	{𣘅字边}
󰼑	{𣘑字头}
󰼒	{𣘒字旁}
󰼓	{𣘔字边}
󰼔	{𣘛字边字头}
󰼕	{𣘛字边}
󰼖	{𣘬字底}
󰼗	{𣘺字边}
󰼘	{𣘽字边}
󰼙	{𣙉字边}
󰼚	{𣙏字边}
󰼛	{𣙐字边}
󰼜	{𣙘字边字底}
󰼝	{𣙘字边}
󰼞	{𣙚字边}
󰼟	{𣙛字边}
󰼠	{𣙛字边之一}
󰼡	{𣙠字边}
󰼣	{𣙡字心}
󰼥	{𣙡字底}
󰼦	{𣙮字边字底}
󰼧	{𣙮字边}
󰼨	{𣙰字旁}
󰼩	{𣙴字边}
󰼪	{𣙶字边字底}
󰼫	{𣙶字边}
󰼬	{𣙾字边字头}
󰼭	{𣙾字边}
󰼮	{𣙾字边之一}
󰼯	{𣚆字边字底}
󰼰	{𣚆字边}
󰼱	{𣚉字边}
󰼳	{𣚞字边}
󰼴	{𣚢字边}
󰼵	{𣚤字旁}
󰼶	{𣚩字头}
󰼷	{𣚪字边字头}
󰼹	{𣚪字边}
󰼻	{𣚪字边之一}
